step,timestamp,encoder,SIN_P,COS_P,SIN_N,COS_N,cycle,ideal_tmp,actual_tmp
0,2025-04-01 14:39:10,0,15234,9657,11164,16733,1,21.696333333333335,40.99133333333333
1,2025-04-01 14:39:10,654,15567,9877,10846,16518,1,21.696333333333335,40.99133333333333
2,2025-04-01 14:39:10,634,15890,10127,10533,16270,1,21.696333333333335,40.99133333333333
3,2025-04-01 14:39:10,628,16180,10415,10232,15993,1,21.696333333333335,40.99133333333333
4,2025-04-01 14:39:11,614,16444,10713,9972,15686,1,21.643916666666666,41.034666666666666
5,2025-04-01 14:39:11,625,16677,11039,9731,15362,1,21.643916666666666,41.034666666666666
6,2025-04-01 14:39:11,619,16879,11383,9528,15023,1,21.643916666666666,41.034666666666666
7,2025-04-01 14:39:12,633,17053,11748,9357,14645,1,21.5915,41.078
8,2025-04-01 14:39:12,622,17193,12129,9227,14280,1,21.5915,41.078
9,2025-04-01 14:39:12,634,17280,12518,9127,13885,1,21.5915,41.078
10,2025-04-01 14:39:13,617,17335,12904,9075,13504,1,21.539083333333334,41.12133333333333
11,2025-04-01 14:39:13,623,17296,13270,9068,13108,1,21.539083333333334,41.12133333333333
12,2025-04-01 14:39:13,612,17315,13683,9093,12719,1,21.539083333333334,41.12133333333333
13,2025-04-01 14:39:13,631,17242,14086,9170,12331,1,21.539083333333334,41.12133333333333
14,2025-04-01 14:39:14,625,17127,14469,9282,11942,1,21.486666666666668,41.16466666666667
15,2025-04-01 14:39:14,615,16986,14833,9434,11575,1,21.486666666666668,41.16466666666667
16,2025-04-01 14:39:14,631,16780,15200,9625,11211,1,21.486666666666668,41.16466666666667
17,2025-04-01 14:39:15,624,16556,15544,9853,10871,1,21.43425,41.208
18,2025-04-01 14:39:15,627,16295,15858,10112,10544,1,21.43425,41.208
19,2025-04-01 14:39:15,617,16014,16157,10404,10255,1,21.43425,41.208
20,2025-04-01 14:39:15,610,15701,16413,10700,9986,1,21.43425,41.208
21,2025-04-01 14:39:16,623,15368,16655,11041,9747,1,21.381833333333333,41.251333333333335
22,2025-04-01 14:39:16,622,15013,16856,11393,9545,1,21.381833333333333,41.251333333333335
23,2025-04-01 14:39:16,630,14639,17025,11760,9373,1,21.381833333333333,41.251333333333335
24,2025-04-01 14:39:17,609,14267,17152,12139,9242,1,21.329416666666667,41.294666666666664
25,2025-04-01 14:39:17,633,13871,17242,12532,9152,1,21.329416666666667,41.294666666666664
26,2025-04-01 14:39:17,619,13476,17281,12925,9101,1,21.329416666666667,41.294666666666664
27,2025-04-01 14:39:18,626,13082,17296,13321,9094,1,21.277,41.338
28,2025-04-01 14:39:18,608,12704,17268,13705,9128,1,21.277,41.338
29,2025-04-01 14:39:18,619,12315,17190,14086,9199,1,21.277,41.338
30,2025-04-01 14:39:18,628,11928,17076,14468,9311,1,21.277,41.338
31,2025-04-01 14:39:19,621,11562,16926,14842,9463,1,21.22458333333333,41.38133333333333
32,2025-04-01 14:39:19,632,11199,16732,15198,9651,1,21.22458333333333,41.38133333333333
33,2025-04-01 14:39:19,617,10864,16512,15532,9868,1,21.22458333333333,41.38133333333333
34,2025-04-01 14:39:20,627,10550,16257,15852,10121,1,21.172166666666666,41.42466666666667
35,2025-04-01 14:39:20,625,10248,15975,16143,10400,1,21.172166666666666,41.42466666666667
36,2025-04-01 14:39:20,618,9982,15676,16412,10702,1,21.172166666666666,41.42466666666667
37,2025-04-01 14:39:20,622,9746,15349,16649,11029,1,21.172166666666666,41.42466666666667
38,2025-04-01 14:39:21,620,9540,15002,16853,11370,1,21.11975,41.467999999999996
39,2025-04-01 14:39:21,637,9365,14632,17023,11741,1,21.11975,41.467999999999996
40,2025-04-01 14:39:21,621,9237,14261,17163,12118,1,21.11975,41.467999999999996
41,2025-04-01 14:39:22,641,9144,13872,17255,12512,1,21.067333333333334,41.51133333333333
42,2025-04-01 14:39:22,619,9091,13478,17302,12891,1,21.067333333333334,41.51133333333333
43,2025-04-01 14:39:22,629,9083,13093,17311,13290,1,21.067333333333334,41.51133333333333
44,2025-04-01 14:39:23,623,9113,12702,17285,13675,1,21.014916666666664,41.55466666666667
45,2025-04-01 14:39:23,631,9179,12312,17209,14071,1,21.014916666666664,41.55466666666667
46,2025-04-01 14:39:23,629,9300,11932,17094,14454,1,21.014916666666664,41.55466666666667
47,2025-04-01 14:39:23,625,9455,11566,16949,14822,1,21.014916666666664,41.55466666666667
48,2025-04-01 14:39:24,635,9622,11163,16698,15138,1,20.9625,41.598
49,2025-04-01 14:39:24,632,9875,10860,16522,15525,1,20.9625,41.598
50,2025-04-01 14:39:24,637,10136,10542,16268,15846,1,20.9625,41.598
51,2025-04-01 14:39:25,623,10427,10248,15981,16136,1,20.910083333333333,41.641333333333336
52,2025-04-01 14:39:25,615,10729,9987,15673,16395,1,20.910083333333333,41.641333333333336
53,2025-04-01 14:39:25,631,11068,9745,15334,16639,1,20.910083333333333,41.641333333333336
54,2025-04-01 14:39:25,627,11420,9546,14990,16844,1,20.910083333333333,41.641333333333336
55,2025-04-01 14:39:26,638,11786,9373,14613,17005,1,20.857666666666667,41.684666666666665
56,2025-04-01 14:39:26,623,12161,9249,14245,17139,1,20.857666666666667,41.684666666666665
57,2025-04-01 14:39:26,640,12559,9155,13849,17229,1,20.857666666666667,41.684666666666665
58,2025-04-01 14:39:27,627,12955,9111,13465,17289,1,20.80525,41.728
59,2025-04-01 14:39:27,631,13346,9102,13066,17291,1,20.80525,41.728
60,2025-04-01 14:39:27,614,13730,9137,12683,17258,1,20.80525,41.728
61,2025-04-01 14:39:28,623,14120,9210,12295,17189,1,20.75283333333333,41.77133333333333
62,2025-04-01 14:39:28,634,14505,9322,11912,17071,1,20.75283333333333,41.77133333333333
63,2025-04-01 14:39:28,626,14870,9472,11547,16924,1,20.75283333333333,41.77133333333333
64,2025-04-01 14:39:29,637,15219,9657,11180,16725,1,20.700416666666666,41.81466666666667
0,2025-04-01 14:39:29,0,15180,9628,11145,16674,1,20.700416666666666,41.81466666666667
1,2025-04-01 14:39:29,-651,14825,9446,11492,16859,1,20.700416666666666,41.81466666666667
2,2025-04-01 14:39:30,-625,14462,9293,11862,17009,1,20.648,41.858
3,2025-04-01 14:39:30,-636,14085,9183,12249,17132,1,20.648,41.858
4,2025-04-01 14:39:30,-622,13699,9112,12633,17205,1,20.648,41.858
5,2025-04-01 14:39:31,-614,13317,9077,13014,17236,1,20.595583333333334,41.90133333333333
6,2025-04-01 14:39:31,-630,12924,9079,13408,17225,1,20.595583333333334,41.90133333333333
