step,timestamp,encoder,SIN_P,COS_P,SIN_N,COS_N,cycle,ideal_tmp,actual_tmp
0,2025-04-01 13:05:11,0,16766,10981,9637,15405,1,15.080733333333335,22.805166666666665
1,2025-04-01 13:05:11,642,16925,11314,9313,14936,1,15.080733333333335,22.805166666666665
2,2025-04-01 13:05:12,614,17116,11697,9266,14688,1,14.917466666666666,22.80408333333333
3,2025-04-01 13:05:12,627,17255,12083,9135,14302,1,14.917466666666666,22.80408333333333
4,2025-04-01 13:05:12,631,17322,12460,9042,13908,1,14.917466666666666,22.80408333333333
5,2025-04-01 13:05:13,630,17349,12805,8930,13428,1,14.7542,22.803
6,2025-04-01 13:05:13,641,17374,13263,8958,13070,1,14.7542,22.803
7,2025-04-01 13:05:13,619,17147,13492,8891,12532,1,14.7542,22.803
8,2025-04-01 13:05:14,637,17078,13901,8949,12130,1,14.590933333333334,22.801916666666667
9,2025-04-01 13:05:14,628,16974,14276,9056,11733,1,14.590933333333334,22.801916666666667
10,2025-04-01 13:05:14,620,16837,14656,9202,11382,1,14.590933333333334,22.801916666666667
11,2025-04-01 13:05:14,624,16633,15009,9383,11022,1,14.590933333333334,22.801916666666667
12,2025-04-01 13:05:15,619,16581,15408,9689,10774,1,14.427666666666667,22.800833333333333
13,2025-04-01 13:05:15,640,16173,15666,9852,10335,1,14.427666666666667,22.800833333333333
14,2025-04-01 13:05:15,628,15891,15956,10136,10055,1,14.427666666666667,22.800833333333333
15,2025-04-01 13:05:16,639,15582,16240,10457,9763,1,14.2644,22.79975
16,2025-04-01 13:05:16,623,15217,16477,10773,9532,1,14.2644,22.79975
17,2025-04-01 13:05:16,626,14885,16688,11146,9340,1,14.2644,22.79975
18,2025-04-01 13:05:16,615,14517,16852,11509,9171,1,14.2644,22.79975
19,2025-04-01 13:05:17,631,14126,16994,11891,9040,1,14.101133333333333,22.798666666666666
20,2025-04-01 13:05:17,625,13723,17050,12298,8932,1,14.101133333333333,22.798666666666666
21,2025-04-01 13:05:17,619,13326,17129,12705,8892,1,14.101133333333333,22.798666666666666
22,2025-04-01 13:05:18,635,12913,17139,13113,8878,1,13.937866666666666,22.797583333333332
23,2025-04-01 13:05:18,624,12508,17075,13534,8916,1,13.937866666666666,22.797583333333332
24,2025-04-01 13:05:29,633,12239,17225,14081,9093,1,12.145666666666667,22.76833333333333
25,2025-04-01 13:05:29,619,11884,17161,14520,9232,1,12.145666666666667,22.76833333333333
26,2025-04-01 13:05:29,609,11505,17003,14886,9372,1,12.145666666666667,22.76833333333333
27,2025-04-01 13:05:29,624,11137,16812,15251,9563,1,12.145666666666667,22.76833333333333
28,2025-04-01 13:05:29,623,10790,16593,15603,9788,1,12.145666666666667,22.76833333333333
29,2025-04-01 13:05:29,629,10463,16335,15926,10041,1,12.145666666666667,22.76833333333333
30,2025-04-01 13:05:29,612,10164,16045,16217,10302,1,12.145666666666667,22.76833333333333
31,2025-04-01 13:05:29,634,9894,15739,16488,10639,1,12.145666666666667,22.76833333333333
32,2025-04-01 13:05:29,622,9657,15404,16728,10968,1,12.145666666666667,22.76833333333333
33,2025-04-01 13:05:29,628,9448,15043,16935,11281,1,12.145666666666667,22.76833333333333
34,2025-04-01 13:05:29,603,9284,14691,17105,11682,1,12.145666666666667,22.76833333333333
35,2025-04-01 13:05:29,620,9155,14305,17236,12069,1,12.145666666666667,22.76833333333333
36,2025-04-01 13:05:29,626,9057,13903,17328,12461,1,12.145666666666667,22.76833333333333
37,2025-04-01 13:05:29,622,9010,13505,17388,12862,1,12.145666666666667,22.76833333333333
38,2025-04-01 13:05:29,630,8992,13096,17386,13272,1,12.145666666666667,22.76833333333333
39,2025-04-01 13:05:29,613,9024,12697,17364,13669,1,12.145666666666667,22.76833333333333
40,2025-04-01 13:05:29,629,9098,12298,17299,14073,1,12.145666666666667,22.76833333333333
41,2025-04-01 13:05:29,622,9204,11903,17183,14461,1,12.145666666666667,22.76833333333333
42,2025-04-01 13:05:29,612,9350,11531,17032,14835,1,12.145666666666667,22.76833333333333
43,2025-04-01 13:05:29,618,9542,11172,16851,15209,1,12.145666666666667,22.76833333333333
44,2025-04-01 13:05:29,616,9764,10826,16636,15554,1,12.145666666666667,22.76833333333333
45,2025-04-01 13:05:29,633,10022,10495,16369,15875,1,12.145666666666667,22.76833333333333
46,2025-04-01 13:05:29,615,10312,10194,16087,16186,1,12.145666666666667,22.76833333333333
47,2025-04-01 13:05:29,636,10634,9919,15767,16455,1,12.145666666666667,22.76833333333333
48,2025-04-01 13:05:29,618,10965,9677,15420,16699,1,12.145666666666667,22.76833333333333
49,2025-04-01 13:05:29,623,11331,9469,15064,16912,1,12.145666666666667,22.76833333333333
50,2025-04-01 13:05:29,613,11706,9298,14688,17077,1,12.145666666666667,22.76833333333333
51,2025-04-01 13:05:29,627,12105,9166,14297,17215,1,12.145666666666667,22.76833333333333
52,2025-04-01 13:05:29,624,12507,9068,13854,17301,1,12.145666666666667,22.76833333333333
53,2025-04-01 13:05:29,620,12915,9020,13486,17362,1,12.145666666666667,22.76833333333333
54,2025-04-01 13:05:29,637,13333,9011,13061,17367,1,12.145666666666667,22.76833333333333
55,2025-04-01 13:05:29,625,13745,9044,12658,17340,1,12.145666666666667,22.76833333333333
56,2025-04-01 13:05:29,635,14154,9116,12244,17266,1,12.145666666666667,22.76833333333333
57,2025-04-01 13:05:29,622,14547,9232,11859,17156,1,12.145666666666667,22.76833333333333
58,2025-04-01 13:05:29,613,14919,9379,11484,17007,1,12.145666666666667,22.76833333333333
59,2025-04-01 13:05:29,632,15286,9570,11112,16816,1,12.145666666666667,22.76833333333333
60,2025-04-01 13:05:29,629,15417,9645,10614,16373,1,12.145666666666667,22.76833333333333
61,2025-04-01 13:05:29,638,15958,10051,10447,16337,1,12.145666666666667,22.76833333333333
