step,timestamp,encoder,SIN_P,COS_P,SIN_N,COS_N,TEMP
0,20250328_102314,0,13634,9031,12578,17223,27.93
1,20250328_102314,653,14031,9107,12193,17158,27.93
2,20250328_102315,624,14423,9220,11797,17046,27.93
3,20250328_102315,623,14798,9374,11411,16887,27.93
4,20250328_102315,639,15172,9569,11033,16690,27.93
5,20250328_102316,626,15527,9802,10688,16469,27.93
6,20250328_102316,638,15852,10064,10354,16192,27.93
7,20250328_102317,621,16163,10361,10064,15913,27.93
8,20250328_102317,634,16424,10674,9791,15590,27.93
9,20250328_102317,617,16656,11006,9558,15255,27.9
10,20250328_102318,630,16864,11366,9361,14901,27.93
11,20250328_102318,629,17022,11740,9199,14530,27.93
12,20250328_102318,621,17142,12117,9074,14146,27.93
13,20250328_102319,637,17227,12503,8993,13751,27.9
14,20250328_102319,628,17274,12908,8952,13363,27.97
15,20250328_102320,635,17263,13290,8951,12958,27.93
16,20250328_102320,627,17217,13674,8991,12565,27.93
17,20250328_102320,610,17155,14059,9080,12202,27.93
18,20250328_102321,628,17036,14436,9201,11828,27.93
19,20250328_102321,625,16889,14798,9357,11467,27.93
20,20250328_102321,636,16694,15151,9552,11113,27.9
21,20250328_102322,614,16472,15471,9769,10781,27.93
22,20250328_102322,635,16187,15749,10022,10475,27.93
23,20250328_102323,626,15940,16083,10311,10179,27.9
24,20250328_102323,632,15634,16342,10622,9900,27.93
25,20250328_102323,604,15319,16572,10936,9677,27.9
26,20250328_102324,622,14969,16778,11286,9481,27.93
27,20250328_102324,624,14609,16946,11652,9307,27.93
28,20250328_102324,624,14236,17081,12031,9178,27.93
29,20250328_102325,634,13839,17181,12429,9079,27.93
30,20250328_102325,612,13450,17237,12822,9023,27.97
31,20250328_102325,631,13043,17242,13221,9000,27.97
32,20250328_102326,625,12645,17228,13635,9033,27.93
33,20250328_102326,610,12254,17165,14019,9095,27.93
34,20250328_102327,620,11857,17050,14413,9202,27.93
35,20250328_102327,616,11471,16905,14797,9352,27.9
36,20250328_102327,631,11103,16720,15170,9541,27.93
37,20250328_102328,619,10751,16498,15529,9769,27.93
38,20250328_102328,635,10409,16228,15857,10026,27.93
39,20250328_102328,612,10109,15942,16155,10314,27.93
40,20250328_102329,625,9837,15629,16435,10633,27.9
41,20250328_102329,609,9597,15303,16674,10968,27.9
42,20250328_102330,624,9387,14940,16871,11328,27.93
