step,encoder,SIN_P,COS_P,SIN_N,COS_N,TEMP
0,-193,1249,1073,1658,1930,32.2
1,544,1878,1923,1709,1440,41.5
2,-508,1042,1987,1503,1327,37.9
3,-160,1612,1303,1169,1709,40.7
4,560,1933,1099,1278,1816,38.5
5,97,1826,1512,1267,1810,28.3
6,-21,1149,1579,1821,1967,32.2
7,393,1336,1485,1745,1228,34.1
8,-806,1357,1001,1153,1708,39.4
9,668,1490,1124,1196,1530,35.3
10,722,1666,1549,1024,1801,30.3
11,-23,1408,1228,1933,1298,43.1
12,-365,1013,1865,1814,1063,38.6
13,425,1669,1115,1094,1629,35.1
14,-483,1195,1105,1404,1451,34.8
15,-812,1123,1505,1882,1752,41.6
16,-284,1337,1438,1144,1501,34.7
17,871,1828,1137,1358,1177,44.7
18,-706,1904,1609,1231,1745,42.5
19,635,1298,1142,1399,1968,26.2
20,-740,1557,1594,1008,1395,41.8
21,113,1530,1006,1962,1942,41.5
22,-918,1852,1767,1821,1695,36.2
23,671,1901,1590,1831,1738,30.7
24,616,1790,1640,1679,1335,25.6
25,972,1098,1095,1319,1454,27.3
26,-711,1760,1905,1126,1123,35.6
27,813,1770,1238,1094,1220,29.4
28,-634,1534,1226,1394,1363,38.8
29,844,1590,1550,1159,1623,39.7
30,385,1217,1272,1539,1247,43.5
31,496,1885,1623,1420,1144,41.8
32,735,1915,1625,1534,1042,26.1
33,-321,1152,1244,1295,1818,44.6
34,692,1815,1991,1033,1669,44.7
35,553,1547,1825,1210,1662,26.1
36,808,1377,1761,1625,1335,31.8
37,995,1776,1767,1439,1874,38.1
38,-444,1301,1872,1560,1094,43.4
39,755,1789,1407,1015,1193,41.9
40,680,1455,1855,1506,1963,35.2
41,-324,1108,1249,1331,1844,28.8
42,-192,1997,1651,1849,1203,38.1
43,-469,1014,1419,1775,1009,43.0
44,929,1223,1054,1260,1737,39.5
45,317,1525,1200,1256,1564,44.7
46,-352,1704,1550,1150,1976,26.2
47,-446,1797,1504,1381,1748,31.5
48,378,1699,1209,1129,1553,33.3
49,-553,1607,1773,1322,1305,42.6
50,-947,1224,1630,1366,1400,29.4
51,370,1285,1016,1898,1155,38.3
52,557,1576,1178,1266,1357,36.1
53,878,1614,1819,1737,1133,44.1
54,720,1762,1633,1197,1031,43.8
55,-411,1873,1877,1304,1358,25.0
56,254,1960,1915,1947,1480,38.0
57,955,1546,1107,1238,1000,37.6
58,35,1857,1113,1114,1593,41.0
59,-646,1418,1357,1585,1729,26.5
60,-437,1102,1917,1643,1419,41.7
61,747,1269,1395,1303,1473,35.3
62,748,1385,1658,1459,1406,38.0
63,824,1132,1973,1603,1897,37.0
64,950,1231,1480,1203,1900,37.0
65,-467,1258,1003,1676,1950,38.4
66,-220,1879,1832,1574,1549,39.2
67,-751,1771,1310,1879,1983,42.0
68,-960,1723,1650,1971,1229,36.8
69,746,1299,1230,1621,1776,37.4
70,-756,1958,1696,1771,1064,41.0
71,-402,1751,1940,1503,1551,25.1
72,205,1080,1418,1274,1649,26.3
73,320,1025,1012,1783,1788,36.7
74,-992,1550,1324,1195,1257,36.1
75,690,1666,1410,1593,1553,41.5
76,-40,1742,1403,1352,1307,39.1
77,-90,1200,1799,1127,1171,43.7
78,-586,1625,1641,1517,1348,29.2
79,-685,1974,1445,1373,1220,36.1
80,239,1054,1305,1929,1253,43.9
81,166,1356,1304,1860,1898,44.2
82,720,1116,1580,1867,1352,38.9
83,-302,1901,1811,1616,1891,32.1
84,728,1671,1661,1045,1120,29.0
85,158,1453,1627,1350,1711,41.3
86,594,1533,1727,1827,1795,38.1
87,442,1516,1006,1515,1924,25.1
88,97,1661,1103,1324,1108,38.6
89,-719,1015,1710,1216,1905,42.3
90,781,1720,1791,1169,1865,27.7
91,536,1728,1125,1384,1167,39.9
92,-524,1046,1576,1666,1467,37.0
93,384,1991,1210,1258,1211,39.4
94,518,1718,1934,1825,1767,33.9
95,818,1014,1825,1918,1028,27.9
96,-966,1727,1240,1754,1540,44.6
97,-65,1083,1048,1865,1011,30.2
98,64,1876,1237,1675,1245,36.0
99,-585,1192,1710,1747,1037,34.9
100,-553,1715,1693,1579,1129,41.4
101,979,1501,1525,1289,1958,28.3
102,800,1089,1670,1217,1846,28.8
103,543,1338,1936,1321,1719,34.6
104,247,1788,1359,1987,1035,28.5
105,912,1684,1989,1784,1734,31.7
106,-481,1615,1045,1976,1661,27.5
107,-181,1631,1903,1698,1798,28.9
108,-996,1503,1679,1765,1391,35.7
109,-76,1365,1121,1454,1106,30.0
110,703,1832,1032,1141,1654,42.7
111,-783,1900,1289,1465,1747,27.2
112,879,1317,1516,1048,1762,27.9
113,39,1708,1903,1657,1761,40.2
114,466,1621,1557,1996,1955,38.0
115,494,1555,1221,1312,1293,27.7
116,-768,1444,1791,1198,1152,30.6
117,570,1303,1439,1914,1799,41.6
118,835,1921,1043,1752,1086,36.9
119,150,1410,1623,1669,1605,39.3
120,311,1431,1992,1816,1699,42.1
121,-361,1370,1836,1891,1857,28.3
122,328,1177,1410,1683,1176,33.9
123,-909,1434,1711,1904,1026,34.1
124,-210,1522,1364,1890,1884,26.3
125,441,1127,1179,1784,1537,32.0
126,561,1581,1165,1802,1732,38.2
127,854,1759,1847,1377,1462,26.0
128,819,1150,1377,1941,1836,37.0
