step,timestamp,encoder,SIN_P,COS_P,SIN_N,COS_N,cycle
0,2025-04-01 12:46:56,0,15394,16791,11055,9651,1
1,2025-04-01 12:47:13,627,15028,16985,11418,9452,1
2,2025-04-01 12:47:13,636,14641,17146,11800,9287,1
3,2025-04-01 12:47:13,627,14251,17274,12195,9167,1
4,2025-04-01 12:47:13,630,13824,17264,12561,9057,1
5,2025-04-01 12:47:13,607,13457,17401,12990,9037,1
6,2025-04-01 12:47:13,623,13051,17398,13398,9035,1
7,2025-04-01 12:47:13,627,12647,17249,13825,9074,1
8,2025-04-01 12:47:13,625,12238,17274,14184,9154,1
9,2025-04-01 12:47:13,634,11847,17162,14600,9276,1
10,2025-04-01 12:47:13,617,11472,17005,14978,9430,1
11,2025-04-01 12:47:13,626,11045,16767,15341,9626,1
12,2025-04-01 12:47:13,627,10757,16569,15682,9847,1
13,2025-04-01 12:47:13,609,10444,16314,15994,10109,1
14,2025-04-01 12:47:13,620,10147,16025,16288,10395,1
15,2025-04-01 12:47:13,617,9886,15717,16559,10712,1
16,2025-04-01 12:47:13,632,9647,15371,16796,11056,1
17,2025-04-01 12:47:13,620,9443,15007,16995,11413,1
18,2025-04-01 12:47:13,632,9277,14631,17163,11790,1
19,2025-04-01 12:47:13,615,9151,14239,17283,12173,1
20,2025-04-01 12:47:13,624,9066,13842,17373,12575,1
21,2025-04-01 12:47:13,610,9026,13448,17419,12975,1
22,2025-04-01 12:47:14,624,9022,13042,17422,13383,1
23,2025-04-01 12:47:14,621,9032,12642,17387,13767,1
24,2025-04-01 12:47:14,614,9142,12239,17297,14183,1
25,2025-04-01 12:47:14,636,9268,11838,17175,14580,1
26,2025-04-01 12:47:14,617,9429,11469,17023,14963,1
27,2025-04-01 12:47:14,631,9629,11097,16814,15326,1
28,2025-04-01 12:47:14,617,9865,10759,16585,15673,1
29,2025-04-01 12:47:14,607,10122,10445,16318,15985,1
30,2025-04-01 12:47:14,625,10424,10150,16029,16284,1
31,2025-04-01 12:47:14,620,10740,9881,15709,16544,1
32,2025-04-01 12:47:14,631,11087,9648,15361,16781,1
33,2025-04-01 12:47:14,617,11450,9453,15007,16988,1
34,2025-04-01 12:47:14,633,11831,9290,14620,17143,1
35,2025-04-01 12:47:14,624,12223,9163,14226,17267,1
36,2025-04-01 12:47:14,632,12622,9078,13823,17351,1
37,2025-04-01 12:47:14,604,13020,9037,13434,17395,1
38,2025-04-01 12:47:14,626,13424,9036,13032,17397,1
39,2025-04-01 12:47:14,629,13834,9077,12622,17359,1
40,2025-04-01 12:47:14,628,14233,9157,12228,17288,1
41,2025-04-01 12:47:14,638,14624,9277,11826,17158,1
42,2025-04-01 12:47:14,621,15001,9433,11455,17007,1
43,2025-04-01 12:47:14,634,15360,9631,11088,16807,1
44,2025-04-01 12:47:14,631,15716,9863,10746,16579,1
45,2025-04-01 12:47:14,619,16024,10118,10431,16316,1
46,2025-04-01 12:47:14,625,16316,10406,10135,16035,1
47,2025-04-01 12:47:14,626,16578,10720,9869,15720,1
48,2025-04-01 12:47:14,635,16791,11012,9598,15301,1
49,2025-04-01 12:47:14,629,17018,11422,9431,15017,1
50,2025-04-01 12:47:14,640,17186,11801,9264,14635,1
51,2025-04-01 12:47:14,622,17311,12192,9140,14252,1
52,2025-04-01 12:47:14,630,17399,12595,9054,13852,1
53,2025-04-01 12:47:14,619,17440,12992,9008,13454,1
54,2025-04-01 12:47:14,632,17415,13376,8990,13019,1
55,2025-04-01 12:47:14,628,17307,13723,9025,12612,1
56,2025-04-01 12:47:14,625,17282,14172,9105,12151,1
57,2025-04-01 12:47:14,638,17167,14572,9229,11828,1
58,2025-04-01 12:47:14,628,17017,14925,9286,11434,1
59,2025-04-01 12:47:14,638,16629,15148,9483,10960,1
60,2025-04-01 12:47:14,623,16415,15483,9721,10627,1
61,2025-04-01 12:47:14,612,16150,15791,9973,10319,1
62,2025-04-01 12:47:15,631,15859,16089,10266,10029,1
63,2025-04-01 12:47:15,625,15538,16352,10576,9768,1
64,2025-04-01 12:47:16,635,15202,16578,10925,9526,1
0,2025-04-01 12:47:16,0,15173,16527,10886,9498,1
1,2025-04-01 12:47:16,-648,15474,16303,10549,9723,1
2,2025-04-01 12:47:16,-625,15800,16039,10228,9990,1
3,2025-04-01 12:47:17,-632,16087,15749,9952,10271,1
4,2025-04-01 12:47:17,-610,16345,15442,9689,10585,1
5,2025-04-01 12:47:17,-624,16589,15125,9448,10922,1
6,2025-04-01 12:47:18,-631,16996,14941,9382,11426,1
7,2025-04-01 12:47:18,-632,17147,14566,9221,11802,1
8,2025-04-01 12:47:18,-640,17273,14150,8951,12035,1
9,2025-04-01 12:47:19,-623,17127,13588,8898,12433,1
10,2025-04-01 12:47:19,-634,17172,13192,8860,12841,1
11,2025-04-01 12:47:19,-629,17162,12801,8875,13250,1
12,2025-04-01 12:47:19,-619,17130,12398,8906,13626,1
13,2025-04-01 12:47:20,-628,17054,12003,9002,14021,1
14,2025-04-01 12:47:20,-624,16912,11635,9116,14404,1
15,2025-04-01 12:47:20,-638,16758,11248,9278,14782,1
16,2025-04-01 12:47:21,-627,16525,10883,9460,15101,1
17,2025-04-01 12:47:21,-640,16321,10567,9711,15468,1
18,2025-04-01 12:47:21,-624,16060,10249,9966,15776,1
19,2025-04-01 12:47:21,-629,15783,9965,10260,16175,1
20,2025-04-01 12:47:22,-618,15468,9719,10647,16423,1
21,2025-04-01 12:47:22,-632,15134,9471,10895,16526,1
22,2025-04-01 12:47:22,-631,14794,9421,11411,16954,1
23,2025-04-01 12:47:23,-619,14601,9256,11782,17110,1
24,2025-04-01 12:47:23,-639,14034,9144,12181,17237,1
25,2025-04-01 12:47:31,-627,13813,9054,12576,17314,1
26,2025-04-01 12:47:31,-634,13400,9011,12980,17352,1
27,2025-04-01 12:47:31,-624,12997,9012,13386,17349,1
28,2025-04-01 12:47:31,-607,12603,9054,13776,17311,1
29,2025-04-01 12:47:31,-629,12198,9134,14173,17220,1
30,2025-04-01 12:47:31,-624,11806,9253,14561,17099,1
31,2025-04-01 12:47:31,-630,11432,9420,14937,16943,1
32,2025-04-01 12:47:31,-619,11069,9608,15301,16741,1
33,2025-04-01 12:47:31,-632,10718,9846,15646,16507,1
34,2025-04-01 12:47:31,-621,10401,10111,15973,16245,1
35,2025-04-01 12:47:31,-626,10103,10402,16265,15945,1
36,2025-04-01 12:47:32,-606,9843,10713,16524,15636,1
37,2025-04-01 12:47:32,-618,9608,11052,16757,15295,1
38,2025-04-01 12:47:32,-628,9407,11416,16961,14928,1
39,2025-04-01 12:47:32,-620,9242,11793,17122,14552,1
40,2025-04-01 12:47:32,-632,9114,12187,17242,14151,1
41,2025-04-01 12:47:32,-615,9038,12592,17329,13758,1
42,2025-04-01 12:47:32,-624,8993,12993,17374,13355,1
43,2025-04-01 12:47:32,-624,8996,13397,17343,12913,1
44,2025-04-01 12:47:32,-610,9036,13788,17322,12543,1
45,2025-04-01 12:47:32,-623,9123,14193,17242,12148,1
46,2025-04-01 12:47:32,-615,9245,14577,17115,11768,1
47,2025-04-01 12:47:32,-629,9409,14951,16949,11387,1
48,2025-04-01 12:47:32,-622,9610,15311,16753,11029,1
49,2025-04-01 12:47:32,-634,9851,15651,16514,10687,1
50,2025-04-01 12:47:32,-614,10110,15970,16249,10375,1
51,2025-04-01 12:47:32,-621,10406,16259,15957,10090,1
